epoch 1, loss 0.4138, train acc 0.885, test loss 0.2455, test acc 0.933
epoch 2, loss 0.2249, train acc 0.939, test loss 0.1909, test acc 0.949
epoch 3, loss 0.1851, train acc 0.950, test loss 0.1642, test acc 0.954
epoch 4, loss 0.1607, train acc 0.956, test loss 0.1493, test acc 0.960
epoch 5, loss 0.1435, train acc 0.961, test loss 0.1328, test acc 0.963
epoch 6, loss 0.1310, train acc 0.965, test loss 0.1243, test acc 0.965
epoch 7, loss 0.1200, train acc 0.968, test loss 0.1169, test acc 0.969
epoch 8, loss 0.1115, train acc 0.971, test loss 0.1141, test acc 0.968
epoch 9, loss 0.1046, train acc 0.972, test loss 0.1038, test acc 0.970
epoch 10, loss 0.0978, train acc 0.974, test loss 0.1003, test acc 0.972
epoch 11, loss 0.0926, train acc 0.976, test loss 0.0975, test acc 0.972
epoch 12, loss 0.0878, train acc 0.978, test loss 0.0941, test acc 0.973
epoch 13, loss 0.0836, train acc 0.978, test loss 0.0897, test acc 0.975
epoch 14, loss 0.0798, train acc 0.979, test loss 0.0869, test acc 0.975
epoch 15, loss 0.0761, train acc 0.981, test loss 0.0883, test acc 0.974
epoch 16, loss 0.0728, train acc 0.981, test loss 0.0830, test acc 0.976
epoch 17, loss 0.0700, train acc 0.982, test loss 0.0827, test acc 0.976
epoch 18, loss 0.0673, train acc 0.983, test loss 0.0794, test acc 0.978
epoch 19, loss 0.0646, train acc 0.984, test loss 0.0772, test acc 0.978
epoch 20, loss 0.0624, train acc 0.984, test loss 0.0754, test acc 0.978
epoch 21, loss 0.0603, train acc 0.985, test loss 0.0760, test acc 0.978
epoch 22, loss 0.0581, train acc 0.985, test loss 0.0734, test acc 0.978
epoch 23, loss 0.0563, train acc 0.986, test loss 0.0719, test acc 0.979
epoch 24, loss 0.0544, train acc 0.987, test loss 0.0722, test acc 0.979
epoch 25, loss 0.0527, train acc 0.987, test loss 0.0700, test acc 0.980
epoch 26, loss 0.0511, train acc 0.988, test loss 0.0694, test acc 0.979
epoch 27, loss 0.0500, train acc 0.988, test loss 0.0681, test acc 0.980
epoch 28, loss 0.0484, train acc 0.989, test loss 0.0670, test acc 0.980
epoch 29, loss 0.0471, train acc 0.989, test loss 0.0695, test acc 0.980
epoch 30, loss 0.0457, train acc 0.989, test loss 0.0661, test acc 0.981
epoch 31, loss 0.0444, train acc 0.989, test loss 0.0648, test acc 0.981
epoch 32, loss 0.0435, train acc 0.990, test loss 0.0641, test acc 0.980
epoch 33, loss 0.0422, train acc 0.990, test loss 0.0633, test acc 0.981
epoch 34, loss 0.0411, train acc 0.990, test loss 0.0626, test acc 0.981
epoch 35, loss 0.0402, train acc 0.991, test loss 0.0626, test acc 0.981
epoch 36, loss 0.0390, train acc 0.991, test loss 0.0635, test acc 0.981
epoch 37, loss 0.0380, train acc 0.991, test loss 0.0624, test acc 0.981
epoch 38, loss 0.0372, train acc 0.991, test loss 0.0614, test acc 0.982
epoch 39, loss 0.0363, train acc 0.992, test loss 0.0610, test acc 0.981
epoch 40, loss 0.0356, train acc 0.992, test loss 0.0600, test acc 0.982
epoch 41, loss 0.0347, train acc 0.992, test loss 0.0596, test acc 0.982
epoch 42, loss 0.0340, train acc 0.992, test loss 0.0595, test acc 0.982
epoch 43, loss 0.0331, train acc 0.993, test loss 0.0597, test acc 0.981
epoch 44, loss 0.0324, train acc 0.993, test loss 0.0592, test acc 0.982
epoch 45, loss 0.0318, train acc 0.993, test loss 0.0600, test acc 0.981
epoch 46, loss 0.0312, train acc 0.993, test loss 0.0586, test acc 0.981
epoch 47, loss 0.0304, train acc 0.994, test loss 0.0581, test acc 0.982
epoch 48, loss 0.0297, train acc 0.994, test loss 0.0575, test acc 0.981
epoch 49, loss 0.0292, train acc 0.994, test loss 0.0576, test acc 0.982
epoch 50, loss 0.0284, train acc 0.994, test loss 0.0579, test acc 0.982
epoch 51, loss 0.0279, train acc 0.994, test loss 0.0579, test acc 0.982
epoch 52, loss 0.0275, train acc 0.995, test loss 0.0572, test acc 0.982
epoch 53, loss 0.0268, train acc 0.995, test loss 0.0566, test acc 0.983
epoch 54, loss 0.0264, train acc 0.995, test loss 0.0566, test acc 0.983
epoch 55, loss 0.0257, train acc 0.995, test loss 0.0555, test acc 0.982
epoch 56, loss 0.0253, train acc 0.995, test loss 0.0558, test acc 0.982
epoch 57, loss 0.0249, train acc 0.996, test loss 0.0559, test acc 0.982
epoch 58, loss 0.0243, train acc 0.996, test loss 0.0556, test acc 0.982
epoch 59, loss 0.0239, train acc 0.996, test loss 0.0557, test acc 0.982
epoch 60, loss 0.0235, train acc 0.996, test loss 0.0549, test acc 0.983
